artist,pub_or_prep,item_t,author,author_s,isbn,imprint,language,size,pages,illustrations,concordance,bibliography,index,exhibition_list,cronology,ind_entr_cont,public_note
"Diziani, Gaspare",1,Gaspare Diziani.,"Zugni-Tauro, Anna Paola",,,"Venice : Alfieri, 1971.",Italian,28 cm,363,"numerous ills., 126 plates (16 mounted)",No,Yes,No,No,No,Bibliog.; Comments,"Introductory material includes a biography, a discussion of the artist's critical fortunes and other essays. The catalogue raisonné presents the works as either autograph, attributed to Diziani, by one of the artist's followers of interest to historians, and lost/unlocated. There are also appendices discusssing and cataloging  Diziani's two sons' works (classified as either accepted, attributed or lost)."
"Dufy, Raoul",1,Raoul Dufy : catalogue raisonné de l'oeuvre peint. Supplément.,,"['Guillon-Laffaille, Fanny (bibliog.)', 'Laffaille, Maurice']",2865740056,"Paris : Éditions Louis Carré, 1985.",French,29 cm,212,"243 b&amp;w, 39 color",No,Yes,Yes,No,No,Exhib. Hist; Bibliog.; Comments,"This is considered the fifth volume of the catalogue raisonné, and adds 254 paintings to Dufy's oeuvre. A second supplement is currently in preparation (see entry in this database)."
"Guidobono, Bartolomeo",1,Bartolomeo e Domenico Guidobono.,,"['Newcome Schleier, Mary', 'Cameirana, Arrigo', 'Orlando, A']",8880520156,"Turin : Artema : Compagnia di belle arti, 2002.",,30 cm,"xxvii, 217","b&amp;w, some color",No,Yes,Yes,No,No,Provenance; Bibliog.; Comments,"This study covers painted works found in churches, museums, and private collections, including frescoes, still-lifes, drawings, and ceramics. The catalogue includes lost and doubtful works. There is a biography of the artist, bibliography, index of names, and an English introduction; documentary sources are quoted."
"Heath, Frederick",1,"The Heath Family Engravers, 1779-1878.","Heath, John",,085967908X,"Aldershot : Scolar Press, 1993.",English,26 cm,v. 1: 242; v. 2: 351,40 b&amp;w ills.,No,Yes,Yes,No,No,,"Each volume begins with sections on the history, techniques and a discussion of the each engravers'  relationship to the art of their period.  The texts are followed by chronological catalogues raisonnés (which includes individual plates and illustrated books) for James and Charles Heath respectively.  Volume 2 also includes shorter listings for Charles Heath's two sons, Frederick and Alfred Heath.  

The author is a descendant of James Heath."
"Jones, John Llewelyn",1,John Llewelyn Jones : Australia's Forgotten Painter.,,"['Aufy, Gile', 'Corbally Stourton, Patrick']",0646348868,"Edgecliff, N.S.W. : Corbally Stourton Contemporary Art [1998].",English,30 cm,279,color,No,Yes,No,No,No,,
"Moy, Seong",2,,"Iacono, Domenic",,,,,,,,,,,,,,
"Schönebeck, Eugen",2,,"Judin, Juerg",,,,,,,,,,,,,,
"Paresce, Renato",1,René Paresce : catalogo ragionato delle opere.,"Ferrario, Rachele",,9788857216232,"Milan : Skira, 2012.",,30 cm,351,some color,No,Yes,No,Yes,No,Exhib. Hist; Bibliog.,"Following the introductory essay, the catalogue raisonné covers Paresce's paintings and works on paper from 1904-1936.   The appendices include a biography, bibliography, a register of Paresce's writings and articles, and a list of exhibitions.

The texts are bilingual."
"Patel, Jacque",1,Les Patel : Pierre Patel (1605-1676) et ses fils : le paysage de ruines à Paris au XVIIe siècle.,,"['Coural, Natalie', 'Thuillier, Jacques (preface)']",2903239282,"Paris : Arthena, 2001.",French,29 cm,447,some color,No,Yes,Yes,No,No,,
"Schönebeck, Eugen",1,Eugen Schönebeck.,"Hirsch, Thomas",,9783943616095,"Munich : Klinkhardt &amp; Biermann, 2014.",German,21 cm,71,chiefly color,No,Yes,No,No,Yes,,"The publication has the alternate title ""Eugen Schönebeck: Junge Kunst"". 

In addition to the introductory essay, there is a detailed chronology and an illustrated catalogue of all of the artist's 39 known oil paintings and 400 drawings."
"Scheggi, Paolo",1,Paolo Scheggi : Catalogue Raisonné.,,"['Barbero, Luca Massimo', 'Bignotti, Ilari', 'Pola, Francesc', 'Scheggi, Franc', 'Scheggi, Cosi']",9788857228747,"Milan : Skira, 2016.",,30 cm,"xl, 391","b&amp;w, some color",No,Yes,No,Yes,No,,"Following an introductory essay by the artist's heirs, the publication includes a biography, lists of solo and group exhibitions, an anthology of texts by the artist, and a critical anthology.  There are also documents, writings, photographs and period publications about the artist (many not seen before)."
"Schönfeld, Johann Heinrich",1,Johann Heinrich Schönfeld: die Gëmalde,"Pée, Herbert",,3871570176,"Berlin : Deutscher Verlag für Kunstwissenschaft, 1971.",German,26 cm,310,"388 b&amp;w, 16 color",No,Yes,Yes,No,No,,
"Perraud, Jean Joseph",1,"Jean-Joseph Perraud, 1819-1876 : un sculpteur sous le second Empire.","Dotal, Christiane",,2849340014,"Paris : Mare &amp; Martin, 2004.",French,22 cm,298,b&amp;w,No,Yes,Yes,No,No,Provenance; Bibliog.; Comments,"After an introduction describing the stylistic approach of the catalogue, there is a list of abbreviations, followed by a catalogue raisonné of the sculpture.

The publication includes an extensive bibliography of published and archival sources, and separate indices of titles, locations, and names."
